azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
19.4,-0.2926,62.560,757.7,-21.35035,-47.70305
19.5,-0.2962,63.400,756.7,-21.34355,-47.69936
19.6,-0.2970,63.440,756.0,-21.34354,-47.69822
19.7,-0.2993,63.540,753.8,-21.34302,-47.69689
19.8,-0.2965,54.620,731.0,-21.41897,-47.72500
19.9,-0.2936,54.700,733.9,-21.41858,-47.72387
20.0,-0.2933,54.700,734.2,-21.41888,-47.72300
20.1,-0.2926,54.960,735.5,-21.41697,-47.72127
20.2,-0.2945,54.940,733.7,-21.41744,-47.72046
20.3,-0.2974,55.260,731.6,-21.41503,-47.71852
20.4,-0.2977,55.360,731.6,-21.41449,-47.71731
20.5,-0.2968,58.800,741.5,-21.38576,-47.70482
20.6,-0.2952,58.760,742.9,-21.38642,-47.70403
20.7,-0.2941,58.700,743.9,-21.38725,-47.70330
20.8,-0.2926,58.440,744.8,-21.38977,-47.70327
20.9,-0.2970,58.400,740.2,-21.39043,-47.70248
21.0,-0.3023,55.520,727.4,-21.41498,-47.71151
21.1,-0.2989,57.380,735.4,-21.39966,-47.70418
21.2,-0.2918,57.340,742.4,-21.40032,-47.70342
21.3,-0.2852,57.360,749.1,-21.40048,-47.70244
21.4,-0.2806,57.380,753.7,-21.40064,-47.70147
21.5,-0.2792,57.340,755.0,-21.40130,-47.70071
21.6,-0.2800,57.460,754.6,-21.40062,-47.69938
21.7,-0.2781,57.620,757.0,-21.39962,-47.69791
21.8,-0.2771,57.640,758.0,-21.39978,-47.69694
21.9,-0.2771,57.620,758.0,-21.40029,-47.69610
22.0,-0.2772,57.600,757.8,-21.40079,-47.69527
22.1,-0.2782,57.460,756.4,-21.40230,-47.69488
22.2,-0.2790,57.440,755.5,-21.40281,-47.69405
22.3,-0.2815,57.380,752.9,-21.40365,-47.69337
22.4,-0.2813,57.360,753.0,-21.40415,-47.69255
22.5,-0.2796,57.340,754.6,-21.40466,-47.69173
22.6,-0.2767,57.300,757.5,-21.40534,-47.69098
22.7,-0.2730,57.340,761.2,-21.40535,-47.68994
22.8,-0.2703,57.320,763.9,-21.40587,-47.68912
22.9,-0.2722,57.340,762.1,-21.40605,-47.68816
23.0,-0.2733,57.340,761.0,-21.40640,-47.68726
23.1,-0.2733,57.360,761.0,-21.40659,-47.68630
23.2,-0.2701,57.420,764.4,-21.40644,-47.68518
23.3,-0.2628,57.440,771.8,-21.40663,-47.68421
23.4,-0.2591,57.480,775.6,-21.40666,-47.68317
23.5,-0.2569,57.620,778.3,-21.40586,-47.68174
23.6,-0.2514,57.780,784.4,-21.40490,-47.68023
23.7,-0.2575,57.400,777.0,-21.40840,-47.68081
23.8,-0.2605,57.280,773.6,-21.40975,-47.68039
23.9,-0.2711,57.080,762.4,-21.41176,-47.68028
24.0,-0.2758,56.860,757.0,-21.41393,-47.68026
24.1,-0.2766,73.060,821.9,-21.28103,-47.61567
24.2,-0.2733,73.040,826.0,-21.28167,-47.61462
24.3,-0.2742,73.000,824.6,-21.28246,-47.61366
