azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
47.1,3.4148,48.360,3523.8,-33.07940,-70.40640
47.2,3.4254,48.220,3523.5,-33.08082,-70.40688
47.3,3.4079,48.100,3500.8,-33.08211,-70.40721
47.4,3.4105,49.580,3601.1,-33.07361,-70.39494
47.5,3.4080,49.580,3598.9,-33.07418,-70.39431
47.6,3.3686,49.440,3555.5,-33.07561,-70.39478
47.7,3.3633,49.340,3544.4,-33.07679,-70.39495
47.8,3.3760,49.280,3551.4,-33.07772,-70.39480
47.9,3.4161,49.200,3580.7,-33.07878,-70.39481
48.0,3.4500,49.180,3608.6,-33.07947,-70.39435
48.1,3.4720,49.160,3626.2,-33.08016,-70.39389
48.2,3.4403,49.240,3604.3,-33.08026,-70.39264
48.3,3.4089,49.340,3583.8,-33.08023,-70.39122
48.4,3.4247,49.380,3600.1,-33.08057,-70.39028
48.5,3.4403,49.420,3616.3,-33.08091,-70.38935
48.6,3.4651,49.440,3639.2,-33.08137,-70.38857
48.7,3.4351,49.460,3614.5,-33.08183,-70.38780
48.8,3.3923,49.540,3582.7,-33.08193,-70.38654
48.9,3.3818,49.580,3576.2,-33.08228,-70.38560
49.0,3.3865,49.580,3580.3,-33.08286,-70.38499
49.1,3.4268,48.280,3528.7,-33.09114,-70.39489
49.2,3.4864,48.320,3581.8,-33.09148,-70.39397
49.3,3.5168,48.260,3603.5,-33.09240,-70.39387
49.4,3.5065,48.180,3589.4,-33.09344,-70.39393
49.5,3.5037,47.600,3547.7,-33.09742,-70.39806
49.6,3.5286,47.120,3535.7,-33.10080,-70.40139
49.7,3.5575,46.980,3550.0,-33.10218,-70.40196
49.8,3.5564,47.320,3572.4,-33.10076,-70.39861
49.9,3.5239,47.320,3545.5,-33.10132,-70.39803
50.0,3.4734,47.280,3500.8,-33.10212,-70.39779
50.1,3.4263,52.400,3803.5,-33.07301,-70.35518
50.2,3.4477,52.600,3836.7,-33.07248,-70.35291
50.3,3.4626,44.420,3300.8,-33.12033,-70.41964
50.4,3.5110,44.440,3339.8,-33.12075,-70.41894
50.5,3.5565,44.000,3345.2,-33.12382,-70.42204
50.6,3.6166,43.580,3362.5,-33.12676,-70.42499
50.7,3.6743,43.580,3406.6,-33.12728,-70.42447
50.8,3.7279,43.840,3466.1,-33.12633,-70.42179
50.9,3.7695,43.740,3490.9,-33.12743,-70.42210
51.0,3.7987,42.160,3399.1,-33.13694,-70.43474
51.1,3.8524,42.200,3441.7,-33.13723,-70.43390
51.2,3.8731,42.140,3452.6,-33.13808,-70.43391
51.3,3.8702,42.100,3447.6,-33.13882,-70.43374
51.4,3.8762,41.920,3438.7,-33.14035,-70.43476
51.5,3.8986,40.980,3385.8,-33.14615,-70.44215
51.6,3.9315,41.040,3413.9,-33.14632,-70.44116
51.7,3.9622,40.920,3427.0,-33.14749,-70.44169
51.8,3.9570,40.920,3423.3,-33.14800,-70.44122
51.9,3.9447,40.880,3411.4,-33.14872,-70.44108
52.0,3.9482,40.760,3405.0,-33.14989,-70.44162
52.1,3.9773,40.700,3421.4,-33.15073,-70.44165
52.2,3.9834,40.520,3412.1,-33.15223,-70.44271
52.3,3.9863,40.420,3406.7,-33.15328,-70.44309
52.4,3.9578,40.420,3386.4,-33.15379,-70.44262
52.5,3.9256,38.900,3251.0,-33.16265,-70.45508
52.6,3.9598,38.900,3274.4,-33.16313,-70.45464
